,x,y,z
KP0950_AC_WP05,10.362612571027103,-63.59451485882815,-7.671610608773349
KP0952_HU_WP05,7.971808167141863,-66.5491380039421,-7.256916708247099
KP0954_HU_WP05,7.6485054474153245,-66.91506796170913,-6.8429268190184604
KP0955_HU_WP05,7.781444949332626,-67.03907385943172,-6.730589924358814
KP0956_HU_WP05,7.816252425482306,-67.42400740381056,-6.527128457906089
KP0957_HU_WP05,7.364106897255438,-67.01846008461952,-6.898773634273947
KP0958_HU_WP05,8.127498018811949,-67.90302706794334,-6.6196435818377175
KP0959_HU_WP20,8.857251264858723,-69.10330717519687,-7.19222184015088
KP0960_HU_WP05,10.01462312030887,-69.1615675143003,-7.0715355833767415
KP0961_HU_WP05,7.65761679683918,-71.03937196833955,-8.043596015705777
KP0962_AC_WP05,7.3104822213802265,-71.04041740589707,-7.781037491565655
KP0963_HU_WP05,9.932912617325009,-73.0729719698044,-8.517170569698106
KP0964_HU_WP05,11.671930082776282,-65.81551317429371,-7.262773572907445
KP0965_AC_WP05,12.005514845076844,-64.56383443185955,-7.236833744486216
KP0966_AC_WP05,13.00096646539431,-64.72638895059295,-7.768619506392199
KP0968_HU_WP05,9.766746334333288,-50.4673472907526,-8.652447009216237
KP0969_HU_WP05,1.2881301147812565,-40.22758918778081,-9.293337144493155
KP0970_HU_WP05,4.646453517483192,-46.29116873656332,-9.039009190070884
KP0971_HU_WP05,3.760017044075395,-46.28142232275538,-8.789263212826707
KP0972_HU_WP05,3.5807777447821674,-47.6839356116665,-8.967368869520772
KP0973_HU_WP05,3.785834483187252,-34.52984221131056,-9.503418192134124
KP0974_AC_WP05,-0.6496064627816045,-19.094059158138414,-7.136696570475071
KP0975_AC_WP05,-2.581892285054874,-19.856401008751273,-8.411251743129952
KP0976_AC_WP05,-2.5851265326531823,-21.106658471349004,-8.567418885812682
KP0977_AC_WP05,-2.1677890060204064,-20.535182760688578,-8.257414810693747
KP0978_AC_WP05,5.3173982420095705,-3.171356675211421,-8.745665370427668
KP0979_HU_WP05,-9.701246982769973,33.23238881079147,-6.205745759741989
KP0980_HU_WP05,-5.251992219518709,18.368003330313435,-6.370853746937765
KP0981_AC_WP05,-4.141516690999548,18.324221647379538,-6.868109095470909
KP0982_AC_WP05,-2.637988142339953,21.829402984978664,-6.979288386253736
KP0983_AC_WP05,-6.0831240449910755,38.4659131198731,-5.384181520762324
KP0984_HU_WP05,-6.305548992957261,40.179109485747205,-5.584808528263176
KP0985_HU_WP05,-6.321434568341334,40.34884371925581,-6.168343462821552
KP0986_HU_WP05,-3.2807866444913993,50.90626005886331,-5.9524337948744925
KP0987_HU_WP05,-2.0664747273915336,57.3530599614257,-5.508156101622397
KP0988_AC_WP05,1.7362575511020888,-19.420156664758313,-7.2697222348204775
KP0989_AC_WP05,4.977800476883569,-5.312536951837737,-8.35313384398901
